Restaurant Name	Inspection Type	Inspection Date	Inspection Score	Street Number	Street Name	Street Direction	Street Type	Street Unit	Street Address	Zip Code	Violation Description - 1	Violation Points - 1	Violation Detail - 1	Violation Memo - 1	Violation Description - 2	Violation Points - 2	Violation Detail - 2	Violation Memo - 2	Violation Description - 3	Violation Points - 3	Violation Detail - 3	Violation Memo - 3	Violation Description - 4	Violation Points - 4	Violation Detail - 4	Violation Memo - 4	Violation Description - 5	Violation Points - 5	Violation Detail - 5	Violation Memo - 5	Violation Description - 6	Violation Points - 6	Violation Detail - 6	Violation Memo - 6	Violation Description - 7	Violation Points - 7	Violation Detail - 7	Violation Memo - 7	Violation Description - 8	Violation Points - 8	Violation Detail - 8	Violation Memo - 8	Violation Description - 9	Violation Points - 9	Violation Detail - 9	Violation Memo - 9	Violation Description - 10	Violation Points - 10	Violation Detail - 10	Violation Memo - 10	Violation Description - 11	Violation Points - 11	Violation Detail - 11	Violation Memo - 11	Violation Description - 12	Violation Points - 12	Violation Detail - 12	Violation Memo - 12	Violation Description - 13	Violation Points - 13	Violation Detail - 13	Violation Memo - 13	Violation Description - 14	Violation Points - 14	Violation Detail - 14	Violation Memo - 14	Violation Description - 15	Violation Points - 15	Violation Detail - 15	Violation Memo - 15	Violation Description - 16	Violation Points - 16	Violation Detail - 16	Violation Memo - 16	Violation Description - 17	Violation Points - 17	Violation Detail - 17	Violation Memo - 17	Violation Description - 18	Violation Points - 18	Violation Detail - 18	Violation Memo - 18	Violation Description - 19	Violation Points - 19	Violation Detail - 19	Violation Memo - 19	Violation Description - 20	Violation Points - 20	Violation Detail - 20	Violation  Memo - 20	Violation Description - 21	Violation Points - 21	Violation Detail - 21	Violation Memo - 21	Violation Description - 22	Violation Points - 22	Violation Detail - 22	Violation Memo - 22	Violation Description - 23	Violation Points - 23	Violation Detail - 23	Violation Memo - 23	Violation Description - 24	Violation Points - 24	Violation Detail - 24	Violation Memo - 24	Violation Description - 25	Violation Points - 25	Violation Detail - 25	Violation Memo - 25	Inspection Month	Inspection Year	Lat Long Location
MERIDIAN RESTAURANT	Routine	2024-01-20	94	5650	VILLAGE GLEN		DR		5650 VILLAGE GLEN DR	75206	*39 Cutting surfaces.	1.0	228.111  Equipment, Utensils, and Linens.          Equipment, maintenance and operation.          (b) Cutting surfaces.  Surfaces such as cutting blocks and boards that are subject to scratching and scoring shall be resurfaced if they can no longer be effectively cleaned and sanitized, or discarded if they are not capable of being resurfaced.	Small cutting board at bar observed in poor condition	*31 Handwashing lavatory - used for other purpose	2.0	228.149  Water, Plumbing, and Waste.          Plumbing, operation and maintenance.          (a) Using a handwashing facility.          (2) A handwashing facility may not be used for purposes other than handwashing.	Do not use hand sinks as a dump sink	*45 Drying Mops-air dry	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (f) Drying mops.  After use, mops shall be placed in a position that allows them to air-dry without soiling walls, equipment, or supplies.	Hang wet mops to dry quickly	*29 Sanitizing solutions, testing devices	2.0	228.108  Equipment, Utensils, and Linens.          Utensils, temperature measuring devices, and testing devices.          (e) Sanitizing solutions, testing device. A test kit or other device that accurately measures the concentration in mg/L of sanitizing solutions shall be provided.	Provide QA test strips (3-compartment sink)																																																																																					Jan 2024	FY2024	5650 VILLAGE GLEN DR
WHOLE FOODS MARKET (FOOD COUNTER/ SALAD BARS)	Routine	2024-02-14	100	2510	MCKINNEY		AVE		2510 MCKINNEY AVE	75201																																																																																																					Feb 2024	FY2024	2510 MCKINNEY AVE
MCDONALD'S	Routine	2024-02-22	100	11749	PLANO		RD		11749 PLANO RD	752435219																																																																																																					Feb 2024	FY2024	11749 PLANO RD
PHILLIPS MART	Routine	2024-01-13	98	951	BELTLINE	S	RD		951 S BELTLINE RD	75253	*32 Maintain in Good Repair	2.0	228.223 REQUIREMENTS APPLICABLE TO CERTAIN ESTABLISHMENTS      Bed and Breakfast .          (h) Equipment and utensil design and construction. All equipment and utensils shall be constructed of safe materials and maintained in good repair.	clean coffee machine, observed soiled machine																																																																																																	Jan 2024	FY2024	951 S BELTLINE RD
ROMA'S PIZZA & RESTAURANT	Routine	2024-01-31	100	7033	GREENVILLE		AVE	#101	7033 GREENVILLE AVE #101	75231																																																																																																					Jan 2024	FY2024	"7033 GREENVILLE AVE #101
(40.110507017, -84.632444744)"
SUBWAY SANDWICHES #14395	Routine	2024-01-27	99	3302	BUCKNER	N	BLVD	#105	3302 N BUCKNER BLVD #105	75228	*36 Cloths in-use for wiping between uses stored	1.0	228.68  Food.          Preventing Contamination From Equipment, Utensils, and Linens.         (d) Wiping cloths, use limitation.          (2) cloths in-use for wiping counters and other equipment surfaces shall be:         (A) held between uses in a chemical sanitizer solution at a concentration specified in õ228.111(n) of this title; and	Observed wiping cloths sitting in table, needed to be in sanitizer bucket																																																																																																	Jan 2024	FY2024	3302 N BUCKNER BLVD #105
EL TIZONCITO III	Routine	2024-01-08	99	5150	LEMMON		AVE	111	5150 LEMMON AVE STE 111	75209	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	Clean dirty venthood (grease build-up)																																																																																																	Jan 2024	FY2024	5150 LEMMON AVE STE 111
HOLIDAY INN EXPRESS & SUITES	Routine	2024-02-02	100	9089	VANTAGE POINT		DR		9089 VANTAGE POINT DR	75243																																																																																																					Feb 2024	FY2024	9089 VANTAGE POINT DR
WHATABURGER	Routine	2024-02-22	100	11740	PLANO		RD		11740 PLANO RD	75243																																																																																																					Feb 2024	FY2024	11740 PLANO RD
MILO BUTTERFINGERS	Routine	2024-01-29	98	5645	SMU		BLVD		5645 SMU BLVD	75206	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	Detail clean the exterior of all equipment at cook line	*45  Premises shall be maintained in good repair	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (a) Repairing.  The physical facilities shall be maintained in good repair.	Clean and organize beer box area																																																																																													Jan 2024	FY2024	5645 SMU BLVD
JACK IN THE BOX	Routine	2024-01-31	98	3050	HIGHLAND		RD		3050 HIGHLAND RD	75228	*32 Equipment & Utensils smooth easily cleanable	2.0	228.101  Equipment, Utensils, and Linens.          Multiuse materials.          (a) Characteristics.  Materials that are used in the construction of utensils and food-contact surfaces of equipment may not allow the migration of deleterious substances or impart colors, odors, or tastes to food and under normal use conditions shall be:          (4) finished to have a smooth, easily cleanable surface; and	Observed soiled air filter in ice machine																																																																																																	Jan 2024	FY2024	3050 HIGHLAND RD
SMOOTHIE KING	Routine	2024-01-11	97	5235	LOVERS	W	LN		5235 W LOVERS LN	75209	*45  Premises shall be maintained in good repair	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (a) Repairing.  The physical facilities shall be maintained in good repair.	REPAIR OR REPLACE PLASTIC TUBING - CHEMICAL DISPENSER (3 COMP SINK)	*42 Dirty nonfood contact surfaces	1.0	228.113  Equipment, Utensils, and Linens.          Cleaning of equipment and utensils.          (3) Nonfood-contact surfaces of equipment shall be kept free of an accumulation of dust, dirt, food residue, and other debris.	CLEAN THE EXTERIOR OF ALL REACH IN COOLER	*45  Premises shall be maintained in good repair	1.0	228.186  Physical Facilities.          Premises, buildings, systems, rooms, fixtures, equipment, devices, and materials.          (a) Repairing.  The physical facilities shall be maintained in good repair.	Repair OR REPLACE BACKUP RIC																																																																																									Jan 2024	FY2024	5235 W LOVERS LN
SCHLOTZSKY'S	Routine	2024-01-20	95	1152	BUCKNER	N	BLVD	#124	1152 N BUCKNER BLVD #124	75218	*22 Accredited food handler certificate - 60 days	2.0	õ228.33. Certified Food Protection Manager and Food Handler Requirements  (d) Except in a temporary food establishment and the certified food manager, all food employees shall successfully complete an accredited food handler training course, within 60 days of employment.	Not food handler's cards	*31 Individual, disposable towels	2.0	228.175  Physical Facilities.          Handwashing Sinks.          (c) Hand drying provision.  Each handwashing lavatory or group of adjacent lavatories shall be provided with:          (1) individual, disposable towels;	No paper in hand sink	*47 Other Violations	1.0		Display inspection report to place sign visible to customers																																																																																									Jan 2024	FY2024	1152 N BUCKNER BLVD #124
BIDA RANG DONG	Routine	2024-02-22	97	10546	WALNUT		ST	#120	10546 WALNUT ST #120	75243	*29 Concentration of the sanitizing solution shall be accurately determined by using a test kit or o	2.0	228.111  Equipment, Utensils, and Linens.          Equipment, maintenance and operation.          (p) Warewashing equipment, determining chemical sanitizer concentration. Concentration of the sanitizing solution shall be accurately determined by using a test kit or other device.	Need test strips for sanitizer.	*41 Food storage containers, identified with common name of food.	1.0	228.66  Food.          Preventing food and ingredient contamination.          (b) Food storage containers, identified with common name of food. Except for containers holding food that can be readily and unmistakably recognized such as dry pasta, working containers holding food or food ingredients that are removed from their original packages for use in the food establishment, such as cooking oils, flour, herbs, potato flakes, salt, spices, and sugar shall be identified with the common name of the food.	Label all bulk containers.																																																																																													Feb 2024	FY2024	"10546 WALNUT ST #120
(37.20653, -93.27501)"
LEGACY MIDTOWN PARK (2ND FLOOR)	Routine	2024-01-02	100	8280	MANDERVILLE		LN		8280 MANDERVILLE LN	75231																																																																																																					Jan 2024	FY2024	8280 MANDERVILLE LN
LEGACY MIDTOWN PARK	Routine	2024-01-02	100	8240	MANDERVILLE		LN		8240 MANDERVILLE LN	75231																																																																																																					Jan 2024	FY2024	8240 MANDERVILLE LN
VAIL C-STORE	Routine	2024-01-20	98	3855	FRANKFORD		RD	#102A	3855 FRANKFORD RD #102A	75287	*26 Food Labeling-consumer,nutritional information	2.0	228.79  Food.          Labeling.          (b) Other forms of information.          (1) If required by law, consumer warnings shall be provided.	"Provide label ice machine ""ice not for consumption, coolers only"""																																																																																																	Jan 2024	FY2024	3855 FRANKFORD RD #102A
